descriptor	name	description	type
AcidicGroupCount	nAcid	"Number of acidic groups. The list of acidic groups is defined by these SMARTS ""$([O	H1]-[C,S,P]=O)"", ""$([*	-	!$(*~[*	+])])"", ""$([NH](S(=O)=O)C(F)(F)F)"", and ""$(n1nnnc1)"" originally presented in JOELib"	2D
ALOGP	ALogP	Ghose-Crippen LogKow	2D
ALOGP	ALogp2	Square of ALogP	2D
ALOGP	AMR	Molar refractivity	2D
APol	apol	Sum of the atomic polarizabilities (including implicit hydrogens)	2D
AromaticAtomsCount	naAromAtom	Number of aromatic atoms	2D
AromaticBondsCount	nAromBond	Number of aromatic bonds	2D
AtomCount	nAtom	Number of atoms	2D
AtomCount	nHeavyAtom	Number of heavy atoms (i.e. not hydrogen)	2D
AtomCount	nH	Number of hydrogen atoms	2D
AtomCount	nB	Number of boron atoms	2D
AtomCount	nC	Number of carbon atoms	2D
AtomCount	nN	Number of nitrogen atoms	2D
AtomCount	nO	Number of oxygen atoms	2D
AtomCount	nS	Number of sulphur atoms	2D
AtomCount	nP	Number of phosphorus atoms	2D
AtomCount	nF	Number of fluorine atoms	2D
AtomCount	nCl	Number of chlorine atoms	2D
AtomCount	nBr	Number of bromine atoms	2D
AtomCount	nI	Number of iodine atoms	2D
AtomCount	nX	Number of halogen atoms (F, Cl, Br, I, At, Uus)	2D
Autocorrelation	ATS0m	Broto-Moreau autocorrelation - lag 0 / weighted by mass	2D
Autocorrelation	ATS1m	Broto-Moreau autocorrelation - lag 1 / weighted by mass	2D
Autocorrelation	ATS2m	Broto-Moreau autocorrelation - lag 2 / weighted by mass	2D
Autocorrelation	ATS3m	Broto-Moreau autocorrelation - lag 3 / weighted by mass	2D
Autocorrelation	ATS4m	Broto-Moreau autocorrelation - lag 4 / weighted by mass	2D
Autocorrelation	ATS5m	Broto-Moreau autocorrelation - lag 5 / weighted by mass	2D
Autocorrelation	ATS6m	Broto-Moreau autocorrelation - lag 6 / weighted by mass	2D
Autocorrelation	ATS7m	Broto-Moreau autocorrelation - lag 7 / weighted by mass	2D
Autocorrelation	ATS8m	Broto-Moreau autocorrelation - lag 8 / weighted by mass	2D
Autocorrelation	ATS0v	Broto-Moreau autocorrelation - lag 0 / weighted by van der Waals volumes	2D
Autocorrelation	ATS1v	Broto-Moreau autocorrelation - lag 1 / weighted by van der Waals volumes	2D
Autocorrelation	ATS2v	Broto-Moreau autocorrelation - lag 2 / weighted by van der Waals volumes	2D
Autocorrelation	ATS3v	Broto-Moreau autocorrelation - lag 3 / weighted by van der Waals volumes	2D
Autocorrelation	ATS4v	Broto-Moreau autocorrelation - lag 4 / weighted by van der Waals volumes	2D
Autocorrelation	ATS5v	Broto-Moreau autocorrelation - lag 5 / weighted by van der Waals volumes	2D
Autocorrelation	ATS6v	Broto-Moreau autocorrelation - lag 6 / weighted by van der Waals volumes	2D
Autocorrelation	ATS7v	Broto-Moreau autocorrelation - lag 7 / weighted by van der Waals volumes	2D
Autocorrelation	ATS8v	Broto-Moreau autocorrelation - lag 8 / weighted by van der Waals volumes	2D
Autocorrelation	ATS0e	Broto-Moreau autocorrelation - lag 0 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATS1e	Broto-Moreau autocorrelation - lag 1 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATS2e	Broto-Moreau autocorrelation - lag 2 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATS3e	Broto-Moreau autocorrelation - lag 3 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATS4e	Broto-Moreau autocorrelation - lag 4 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATS5e	Broto-Moreau autocorrelation - lag 5 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATS6e	Broto-Moreau autocorrelation - lag 6 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATS7e	Broto-Moreau autocorrelation - lag 7 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATS8e	Broto-Moreau autocorrelation - lag 8 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATS0p	Broto-Moreau autocorrelation - lag 0 / weighted by polarizabilities	2D
Autocorrelation	ATS1p	Broto-Moreau autocorrelation - lag 1 / weighted by polarizabilities	2D
Autocorrelation	ATS2p	Broto-Moreau autocorrelation - lag 2 / weighted by polarizabilities	2D
Autocorrelation	ATS3p	Broto-Moreau autocorrelation - lag 3 / weighted by polarizabilities	2D
Autocorrelation	ATS4p	Broto-Moreau autocorrelation - lag 4 / weighted by polarizabilities	2D
Autocorrelation	ATS5p	Broto-Moreau autocorrelation - lag 5 / weighted by polarizabilities	2D
Autocorrelation	ATS6p	Broto-Moreau autocorrelation - lag 6 / weighted by polarizabilities	2D
Autocorrelation	ATS7p	Broto-Moreau autocorrelation - lag 7 / weighted by polarizabilities	2D
Autocorrelation	ATS8p	Broto-Moreau autocorrelation - lag 8 / weighted by polarizabilities	2D
Autocorrelation	ATS0i	Broto-Moreau autocorrelation - lag 0 / weighted by first ionization potential	2D
Autocorrelation	ATS1i	Broto-Moreau autocorrelation - lag 1 / weighted by first ionization potential	2D
Autocorrelation	ATS2i	Broto-Moreau autocorrelation - lag 2 / weighted by first ionization potential	2D
Autocorrelation	ATS3i	Broto-Moreau autocorrelation - lag 3 / weighted by first ionization potential	2D
Autocorrelation	ATS4i	Broto-Moreau autocorrelation - lag 4 / weighted by first ionization potential	2D
Autocorrelation	ATS5i	Broto-Moreau autocorrelation - lag 5 / weighted by first ionization potential	2D
Autocorrelation	ATS6i	Broto-Moreau autocorrelation - lag 6 / weighted by first ionization potential	2D
Autocorrelation	ATS7i	Broto-Moreau autocorrelation - lag 7 / weighted by first ionization potential	2D
Autocorrelation	ATS8i	Broto-Moreau autocorrelation - lag 8 / weighted by first ionization potential	2D
Autocorrelation	ATS0s	Broto-Moreau autocorrelation - lag 0 / weighted by I-state	2D
Autocorrelation	ATS1s	Broto-Moreau autocorrelation - lag 1 / weighted by I-state	2D
Autocorrelation	ATS2s	Broto-Moreau autocorrelation - lag 2 / weighted by I-state	2D
Autocorrelation	ATS3s	Broto-Moreau autocorrelation - lag 3 / weighted by I-state	2D
Autocorrelation	ATS4s	Broto-Moreau autocorrelation - lag 4 / weighted by I-state	2D
Autocorrelation	ATS5s	Broto-Moreau autocorrelation - lag 5 / weighted by I-state	2D
Autocorrelation	ATS6s	Broto-Moreau autocorrelation - lag 6 / weighted by I-state	2D
Autocorrelation	ATS7s	Broto-Moreau autocorrelation - lag 7 / weighted by I-state	2D
Autocorrelation	ATS8s	Broto-Moreau autocorrelation - lag 8 / weighted by I-state	2D
Autocorrelation	AATS0m	Average Broto-Moreau autocorrelation - lag 0 / weighted by mass	2D
Autocorrelation	AATS1m	Average Broto-Moreau autocorrelation - lag 1 / weighted by mass	2D
Autocorrelation	AATS2m	Average Broto-Moreau autocorrelation - lag 2 / weighted by mass	2D
Autocorrelation	AATS3m	Average Broto-Moreau autocorrelation - lag 3 / weighted by mass	2D
Autocorrelation	AATS4m	Average Broto-Moreau autocorrelation - lag 4 / weighted by mass	2D
Autocorrelation	AATS5m	Average Broto-Moreau autocorrelation - lag 5 / weighted by mass	2D
Autocorrelation	AATS6m	Average Broto-Moreau autocorrelation - lag 6 / weighted by mass	2D
Autocorrelation	AATS7m	Average Broto-Moreau autocorrelation - lag 7 / weighted by mass	2D
Autocorrelation	AATS8m	Average Broto-Moreau autocorrelation - lag 8 / weighted by mass	2D
Autocorrelation	AATS0v	Average Broto-Moreau autocorrelation - lag 0 / weighted by van der Waals volumes	2D
Autocorrelation	AATS1v	Average Broto-Moreau autocorrelation - lag 1 / weighted by van der Waals volumes	2D
Autocorrelation	AATS2v	Average Broto-Moreau autocorrelation - lag 2 / weighted by van der Waals volumes	2D
Autocorrelation	AATS3v	Average Broto-Moreau autocorrelation - lag 3 / weighted by van der Waals volumes	2D
Autocorrelation	AATS4v	Average Broto-Moreau autocorrelation - lag 4 / weighted by van der Waals volumes	2D
Autocorrelation	AATS5v	Average Broto-Moreau autocorrelation - lag 5 / weighted by van der Waals volumes	2D
Autocorrelation	AATS6v	Average Broto-Moreau autocorrelation - lag 6 / weighted by van der Waals volumes	2D
Autocorrelation	AATS7v	Average Broto-Moreau autocorrelation - lag 7 / weighted by van der Waals volumes	2D
Autocorrelation	AATS8v	Average Broto-Moreau autocorrelation - lag 8 / weighted by van der Waals volumes	2D
Autocorrelation	AATS0e	Average Broto-Moreau autocorrelation - lag 0 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATS1e	Average Broto-Moreau autocorrelation - lag 1 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATS2e	Average Broto-Moreau autocorrelation - lag 2 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATS3e	Average Broto-Moreau autocorrelation - lag 3 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATS4e	Average Broto-Moreau autocorrelation - lag 4 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATS5e	Average Broto-Moreau autocorrelation - lag 5 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATS6e	Average Broto-Moreau autocorrelation - lag 6 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATS7e	Average Broto-Moreau autocorrelation - lag 7 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATS8e	Average Broto-Moreau autocorrelation - lag 8 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATS0p	Average Broto-Moreau autocorrelation - lag 0 / weighted by polarizabilities	2D
Autocorrelation	AATS1p	Average Broto-Moreau autocorrelation - lag 1 / weighted by polarizabilities	2D
Autocorrelation	AATS2p	Average Broto-Moreau autocorrelation - lag 2 / weighted by polarizabilities	2D
Autocorrelation	AATS3p	Average Broto-Moreau autocorrelation - lag 3 / weighted by polarizabilities	2D
Autocorrelation	AATS4p	Average Broto-Moreau autocorrelation - lag 4 / weighted by polarizabilities	2D
Autocorrelation	AATS5p	Average Broto-Moreau autocorrelation - lag 5 / weighted by polarizabilities	2D
Autocorrelation	AATS6p	Average Broto-Moreau autocorrelation - lag 6 / weighted by polarizabilities	2D
Autocorrelation	AATS7p	Average Broto-Moreau autocorrelation - lag 7 / weighted by polarizabilities	2D
Autocorrelation	AATS8p	Average Broto-Moreau autocorrelation - lag 8 / weighted by polarizabilities	2D
Autocorrelation	AATS0i	Average Broto-Moreau autocorrelation - lag 0 / weighted by first ionization potential	2D
Autocorrelation	AATS1i	Average Broto-Moreau autocorrelation - lag 1 / weighted by first ionization potential	2D
Autocorrelation	AATS2i	Average Broto-Moreau autocorrelation - lag 2 / weighted by first ionization potential	2D
Autocorrelation	AATS3i	Average Broto-Moreau autocorrelation - lag 3 / weighted by first ionization potential	2D
Autocorrelation	AATS4i	Average Broto-Moreau autocorrelation - lag 4 / weighted by first ionization potential	2D
Autocorrelation	AATS5i	Average Broto-Moreau autocorrelation - lag 5 / weighted by first ionization potential	2D
Autocorrelation	AATS6i	Average Broto-Moreau autocorrelation - lag 6 / weighted by first ionization potential	2D
Autocorrelation	AATS7i	Average Broto-Moreau autocorrelation - lag 7 / weighted by first ionization potential	2D
Autocorrelation	AATS8i	Average Broto-Moreau autocorrelation - lag 8 / weighted by first ionization potential	2D
Autocorrelation	AATS0s	Average Broto-Moreau autocorrelation - lag 0 / weighted by I-state	2D
Autocorrelation	AATS1s	Average Broto-Moreau autocorrelation - lag 1 / weighted by I-state	2D
Autocorrelation	AATS2s	Average Broto-Moreau autocorrelation - lag 2 / weighted by I-state	2D
Autocorrelation	AATS3s	Average Broto-Moreau autocorrelation - lag 3 / weighted by I-state	2D
Autocorrelation	AATS4s	Average Broto-Moreau autocorrelation - lag 4 / weighted by I-state	2D
Autocorrelation	AATS5s	Average Broto-Moreau autocorrelation - lag 5 / weighted by I-state	2D
Autocorrelation	AATS6s	Average Broto-Moreau autocorrelation - lag 6 / weighted by I-state	2D
Autocorrelation	AATS7s	Average Broto-Moreau autocorrelation - lag 7 / weighted by I-state	2D
Autocorrelation	AATS8s	Average Broto-Moreau autocorrelation - lag 8 / weighted by I-state	2D
Autocorrelation	ATSC0c	Centered Broto-Moreau autocorrelation - lag 0 / weighted by charges	2D
Autocorrelation	ATSC1c	Centered Broto-Moreau autocorrelation - lag 1 / weighted by charges	2D
Autocorrelation	ATSC2c	Centered Broto-Moreau autocorrelation - lag 2 / weighted by charges	2D
Autocorrelation	ATSC3c	Centered Broto-Moreau autocorrelation - lag 3 / weighted by charges	2D
Autocorrelation	ATSC4c	Centered Broto-Moreau autocorrelation - lag 4 / weighted by charges	2D
Autocorrelation	ATSC5c	Centered Broto-Moreau autocorrelation - lag 5 / weighted by charges	2D
Autocorrelation	ATSC6c	Centered Broto-Moreau autocorrelation - lag 6 / weighted by charges	2D
Autocorrelation	ATSC7c	Centered Broto-Moreau autocorrelation - lag 7 / weighted by charges	2D
Autocorrelation	ATSC8c	Centered Broto-Moreau autocorrelation - lag 8 / weighted by charges	2D
Autocorrelation	ATSC0m	Centered Broto-Moreau autocorrelation - lag 0 / weighted by mass	2D
Autocorrelation	ATSC1m	Centered Broto-Moreau autocorrelation - lag 1 / weighted by mass	2D
Autocorrelation	ATSC2m	Centered Broto-Moreau autocorrelation - lag 2 / weighted by mass	2D
Autocorrelation	ATSC3m	Centered Broto-Moreau autocorrelation - lag 3 / weighted by mass	2D
Autocorrelation	ATSC4m	Centered Broto-Moreau autocorrelation - lag 4 / weighted by mass	2D
Autocorrelation	ATSC5m	Centered Broto-Moreau autocorrelation - lag 5 / weighted by mass	2D
Autocorrelation	ATSC6m	Centered Broto-Moreau autocorrelation - lag 6 / weighted by mass	2D
Autocorrelation	ATSC7m	Centered Broto-Moreau autocorrelation - lag 7 / weighted by mass	2D
Autocorrelation	ATSC8m	Centered Broto-Moreau autocorrelation - lag 8 / weighted by mass	2D
Autocorrelation	ATSC0v	Centered Broto-Moreau autocorrelation - lag 0 / weighted by van der Waals volumes	2D
Autocorrelation	ATSC1v	Centered Broto-Moreau autocorrelation - lag 1 / weighted by van der Waals volumes	2D
Autocorrelation	ATSC2v	Centered Broto-Moreau autocorrelation - lag 2 / weighted by van der Waals volumes	2D
Autocorrelation	ATSC3v	Centered Broto-Moreau autocorrelation - lag 3 / weighted by van der Waals volumes	2D
Autocorrelation	ATSC4v	Centered Broto-Moreau autocorrelation - lag 4 / weighted by van der Waals volumes	2D
Autocorrelation	ATSC5v	Centered Broto-Moreau autocorrelation - lag 5 / weighted by van der Waals volumes	2D
Autocorrelation	ATSC6v	Centered Broto-Moreau autocorrelation - lag 6 / weighted by van der Waals volumes	2D
Autocorrelation	ATSC7v	Centered Broto-Moreau autocorrelation - lag 7 / weighted by van der Waals volumes	2D
Autocorrelation	ATSC8v	Centered Broto-Moreau autocorrelation - lag 8 / weighted by van der Waals volumes	2D
Autocorrelation	ATSC0e	Centered Broto-Moreau autocorrelation - lag 0 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATSC1e	Centered Broto-Moreau autocorrelation - lag 1 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATSC2e	Centered Broto-Moreau autocorrelation - lag 2 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATSC3e	Centered Broto-Moreau autocorrelation - lag 3 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATSC4e	Centered Broto-Moreau autocorrelation - lag 4 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATSC5e	Centered Broto-Moreau autocorrelation - lag 5 / weighted by Sanderson electronegativities	2D
